feature_id,stream_order,source,lat,lon,gnis_name,Shape_Length,geometry,link,from,to,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,feat_str,hja_id,segment
23774053,1,NHDPlus v2.1,44.21175003051758,-122.154296875,Mack Creek,0.04827160939013568,"LINESTRING (-122.13205332099994 44.20804093100003, -122.13284738799996 44.20895593100005, -122.13370952099996 44.20973093100008, -122.13510572099995 44.21078399800007, -122.13583772099997 44.211130998000044, -122.13843992099999 44.21188213100004, -122.13936298799996 44.21202313100008, -122.14069812099996 44.211951131000035, -122.14219412099999 44.211703198000066, -122.14289612099998 44.21142819800008, -122.14452112099997 44.21042519800005, -122.14531418799999 44.21056619800004, -122.14722118799995 44.21035233100008, -122.14935032099999 44.21037933100007, -122.15026638799998 44.210539331000064, -122.15071638799998 44.210749331000045, -122.15147952099994 44.211222398000075, -122.15309658799998 44.21156939800005, -122.15627878699996 44.212050531000045, -122.15723192099995 44.212328531000026, -122.15853698699999 44.21283253100006, -122.16225238699997 44.21493073100004, -122.16419872099999 44.21618973100004, -122.16514478699997 44.21695279800008, -122.16594592099995 44.21772279800007, -122.16670098699996 44.218771798000034, -122.16705218699997 44.21969193100006, -122.16737338699994 44.221838931000036, -122.16743478699999 44.22538699800003, -122.16771692099996 44.22659599800005, -122.16813712099997 44.22812999800004)",23774053,0,23773415,1366.82,1,0.0,3600.0,0.2,4397.0,0.06,0.16414,0.5701699,3.0425034,-9999,2000-01-01,b'               ',0,1835176,0.12,15.212517,5.070839,23774053,Fa01,Fa
23773987,1,NHDPlus v2.1,44.24281311035156,-122.1448974609375, ,0.02262850465609596,"LINESTRING (-122.13742858799998 44.24945359800006, -122.13765052099996 44.249087598000074, -122.13800138799996 44.247466598000074, -122.13806932099999 44.24620759800007, -122.13822218799999 44.245703598000034, -122.13841318799996 44.24547159800005, -122.13987732099997 44.24524959800004, -122.14064032099998 44.24502073100007, -122.14261632099999 44.24378473100006, -122.14443232099995 44.24321273100003, -122.14474532099996 44.243033731000025, -122.145317321 44.24221373100005, -122.14717118799996 44.24033273100008, -122.14758312099997 44.23969973100003, -122.14764412099998 44.239077731000066, -122.147521988 44.23831873100005, -122.14688092099999 44.23724273100004, -122.14653772099996 44.236006598000074, -122.14653752099997 44.23409159800008, -122.14710938799999 44.23287859800007)",23773987,0,23773417,1142.49,1,0.0,3600.0,0.2,2257.0,0.06,0.16624,0.6764757,2.0650747,-9999,2000-01-01,b'               ',0,1753506,0.12,10.325374,3.4417913,23773987,Fb01,Fb
23773961,1,NHDPlus v2.1,44.2588005065918,-122.18084716796875, ,0.021860208764095737,"LINESTRING (-122.17193898699998 44.26502639800003, -122.17248098699997 44.264480398000046, -122.17515912099998 44.26250839800008, -122.17709712099997 44.26134453100008, -122.17779818699995 44.26081853100004, -122.17853118699998 44.26011253100006, -122.17913418699999 44.25967459800006, -122.18066732099999 44.258964598000034, -122.18120132099995 44.258483598000055, -122.18136132099994 44.25812559800005, -122.18127018699994 44.25750359800003, -122.18075918699998 44.255924598000036, -122.180759121 44.25497059800006, -122.18244512099994 44.252109731000075, -122.18323818699997 44.25133173100005, -122.18352818699998 44.25062173100008, -122.18355912099997 44.249839731000066, -122.18342898699996 44.24900873100006)",23773961,0,23773421,910.76,1,0.0,3600.0,0.2,2158.0,0.06,0.09067,0.66573805,2.1413438,-9999,2000-01-01,b'               ',0,1753497,0.12,10.706719,3.5689065,23773961,Fc01,Fc
23774027,1,NHDPlus v2.1,44.21795654296875,-122.2181625366211, ,0.031488558672600614,"LINESTRING (-122.20400218699996 44.21214359800007, -122.20523832099997 44.21267359800004, -122.20730652099996 44.21333759800007, -122.20965672099999 44.21388273100007, -122.21334892099998 44.21459279800007, -122.21436398699996 44.21491679800005, -122.21557718699995 44.21543893100005, -122.21663032099997 44.216075931000034, -122.21761438699997 44.21710593100005, -122.21872172099995 44.218826998000054, -122.21914078699996 44.21987199800003, -122.21927092099997 44.220439998000074, -122.21945392099997 44.22078413100007, -122.22006398699995 44.221429131000036, -122.22187232099998 44.22293519800007, -122.22419958699999 44.224698198000056, -122.22458172099999 44.22526633100006, -122.22515392099996 44.22650633100005, -122.22547492099994 44.22695633100005, -122.22632898699999 44.227620331000026, -122.22668012099996 44.22808139800003, -122.22697018699995 44.228634398000054, -122.22836632099995 44.229336398000044)",23774027,0,23773411,1148.31,1,0.0,3600.0,0.2,2896.0,0.06,0.23712,0.69851124,1.9203528,-9999,2000-01-01,b'               ',0,1753520,0.12,9.601764,3.200588,23774027,Fd01,Fd
23773419,1,NHDPlus v2.1,44.227439880371094,-122.1230239868164,Lookout Creek,0.050680690794985425,"LINESTRING (-122.11812952099996 44.20730359800007, -122.11688552099997 44.20779253100005, -122.116381521 44.20818153100004, -122.11491758799997 44.209577531000036, -122.11419258799998 44.210714531000065, -122.11412372099994 44.21179353100007, -122.11454398799998 44.21414759800007, -122.11492512099994 44.21501359800004, -122.11520832099995 44.217214598000055, -122.11562738799995 44.21798873100005, -122.11648952099995 44.21924773100005, -122.11674158799997 44.219888731000026, -122.11722278799999 44.22181179800003, -122.11769592099995 44.22239879800003, -122.11849698799995 44.22299079800007, -122.11963412099999 44.22373079800008, -122.12030518799997 44.22436393100003, -122.12043532099995 44.225076931000046, -122.12059532099994 44.225328931000035, -122.12234258799998 44.226720931000045, -122.12314372099996 44.22756399800005, -122.12374678799995 44.22797599800003, -122.12524192099994 44.22843799800006, -122.12618792099994 44.22857113100008, -122.12733298799998 44.22877713100007, -122.12917918799997 44.22952913100005, -122.13066732099998 44.22994519800005, -122.13181138799996 44.230376198000044, -122.13435972099995 44.23171133100004, -122.13518372099998 44.23197833100005, -122.13619878799994 44.23198633100003, -122.13973092099997 44.23139039800003, -122.14097498799998 44.23155539800007, -122.14221112099995 44.231555531000026, -122.14392818799996 44.23208153100006, -122.14564432099996 44.23215059800003, -122.14665938799999 44.23253559800003, -122.14710938799999 44.23287859800007)",23773419,0,23773417,1225.27,1,0.0,3600.0,0.2,4680.0,0.06,0.09559,0.5496581,3.3059587,-9999,2000-01-01,b'               ',0,1790540,0.12,16.529795,5.5099316,23773419,Ma01,Ma
23773417,2,NHDPlus v2.1,44.23259735107422,-122.15801239013672,Lookout Creek,0.022452629021696723,"LINESTRING (-122.14710938799999 44.23287859800007, -122.14914658799995 44.23352373100005, -122.15076472099997 44.23390473100005, -122.15257978799997 44.23390879800007, -122.15458692099998 44.233637798000075, -122.15652498699995 44.232951798000045, -122.15998812099997 44.232127931000036, -122.16148412099994 44.23165493100004, -122.16262812099995 44.23103293100007, -122.16609998699994 44.22863699800007, -122.16692398699996 44.228335998000034, -122.16813712099997 44.22812999800004)",23773417,0,23773415,792.23,2,0.0,3600.0,0.2,1886.0,0.06,0.06496,0.51433957,3.8430343,-9999,2000-01-01,b'               ',0,1147028,0.12,19.21517,6.405057,23773417,Ma02,Ma
23773415,2,NHDPlus v2.1,44.232730865478516,-122.18798065185547,Lookout Creek,0.04107616305449361,"LINESTRING (-122.16813712099997 44.22812999800004, -122.17131032099996 44.228386131000036, -122.17691072099996 44.22970519800003, -122.18053492099995 44.23023633100007, -122.18119898699996 44.23041939800004, -122.18206112099995 44.23099539800006, -122.18384718699997 44.23147539800004, -122.18530438699997 44.232204531000036, -122.18597538699998 44.23240653100004, -122.18867658699997 44.23284159800005, -122.19452898699996 44.23339473100003, -122.19669518699999 44.23387179800005, -122.19751918699995 44.233776798000065, -122.19854218699999 44.23325379800008, -122.19980818699997 44.233135798000035, -122.20331038699999 44.233043931000054, -122.20826972099997 44.23354799800006)",23773415,0,23773413,669.71,2,0.0,3600.0,0.2,3339.0,0.06,0.03723,0.4629458,4.878719,-9999,2000-01-01,b'               ',0,318438,0.12,24.393595,8.131199,23773415,Ma03,Ma
23773413,3,NHDPlus v2.1,44.23090362548828,-122.21842193603516,Lookout Creek,0.021157829125263282,"LINESTRING (-122.20826972099997 44.23354799800006, -122.21139092099997 44.233227131000035, -122.21539598699997 44.232289198000046, -122.21660198699999 44.23181219800006, -122.22127798699995 44.22947833100005, -122.22257498699997 44.229016331000025, -122.22343798699995 44.228978331000064, -122.22668032099995 44.22977539800007, -122.22757332099997 44.229771398000025, -122.22817532099998 44.229497398000035, -122.22836632099995 44.229336398000044)",23773413,0,23773411,545.39,3,0.0,3600.0,0.2,1760.0,0.055,0.02739,0.43257126,5.6899714,-9999,2000-01-01,b'               ',0,2526317,0.11,28.449858,9.483286,23773413,Ma04,Ma
23773411,3,NHDPlus v2.1,44.21907043457031,-122.24479675292969,Lookout Creek,0.04211538064347399,"LINESTRING (-122.22836632099995 44.229336398000044, -122.230685387 44.22927253100005, -122.23126538699995 44.228879531000075, -122.23262332099995 44.226872531000026, -122.23335632099997 44.22630053100005, -122.23472118699999 44.225518531000034, -122.23536232099997 44.22537753100005, -122.23650732099998 44.22531253100004, -122.23698032099998 44.22537753100005, -122.23746032099996 44.22519453100006, -122.23882632099998 44.224167598000065, -122.240192321 44.22343959800003, -122.24146632099996 44.22297759800006, -122.24327432099994 44.22218059800008, -122.24391532099997 44.22178759800005, -122.24441818699995 44.22123459800008, -122.24451818699998 44.22078459800008, -122.24454812099998 44.21973159800007, -122.24466998699995 44.21927359800003, -122.24508198699999 44.218625598000074, -122.24600498699999 44.217991598000026, -122.24727898699996 44.21762159800005, -122.24753098699995 44.217435598000066, -122.24766098699996 44.21714159800007, -122.24813392099998 44.216565598000045, -122.24981992099998 44.216019731000074, -122.25118598699999 44.215748731000076, -122.25215498699998 44.215703731000076, -122.25247498699997 44.215558731000044, -122.25272698699996 44.21519173100006, -122.25285578699999 44.213601598000025, -122.25320672099997 44.21274659800008, -122.25387858699997 44.21208659800004, -122.25461058699995 44.21162959800006, -122.25610658699998 44.210873598000035, -122.25670852099995 44.210419598000044, -122.25712052099999 44.20984759800007, -122.25744138699997 44.20932459800008, -122.25823438699996 44.20865759800006, -122.25973038699999 44.207863598000074, -122.26043132099994 44.20719259800006)",23773411,0,23773409,497.18,3,0.0,3600.0,0.2,3865.0,0.055,0.02049,0.42235157,6.006841,-9999,2000-01-01,b'       14161500',0,1602034,0.11,30.034204,10.011401,23773411,Ma05,Ma
23773423,1,NHDPlus v2.1,44.261802673339844,-122.16267395019531,McRae Creek,0.05052895160409833,"LINESTRING (-122.140336521 44.27288359800008, -122.14142058799996 44.27199059800006, -122.14313658799995 44.27070973100007, -122.14505172099996 44.26911073100007, -122.14571572099999 44.26871773100004, -122.14686772099998 44.26824079800008, -122.15078192099998 44.267119931000025, -122.15290998799998 44.26623493100004, -122.15421498699999 44.26554093100003, -122.15660312099999 44.26385799800005, -122.15721312099998 44.26353799800006, -122.15940318699995 44.26296213100005, -122.161730321 44.26223013100008, -122.16379838699999 44.26129119800004, -122.16500352099996 44.26060819800006, -122.16577452099995 44.26001719800007, -122.16806252099997 44.25701933100004, -122.16873452099998 44.25628633100007, -122.17057258699998 44.254848398000036, -122.17102358699998 44.254367398000056, -122.17149658699998 44.25400139800007, -122.17302972099998 44.25324653100006, -122.17376272099995 44.252719531000025, -122.17480772099998 44.25156053100005, -122.17547872099999 44.251049531000035, -122.178217787 44.24984759800003, -122.17926292099997 44.249466598000026, -122.18059792099996 44.24921473100005, -122.18342898699996 44.24900873100006)",23773423,0,23773421,1202.15,1,0.0,3600.0,0.2,4487.0,0.06,0.10917,0.5734834,3.002803,-9999,2000-01-01,b'               ',0,1778103,0.12,15.014016,5.004672,23773423,Sa01,Sa
