feature_id,nwm_time,U2D,V2D,LWDOWN,T2D,Q2D,PSFC,SWDOWN,hja_id,segment
23774053,2019-06-14_00:00:00,5.542418003,-3.091940403,301.7647705,294.6182251,0.007873986,87612.84375,556.3942261,Fa01,Fa
23774053,2019-06-14_01:00:00,4.867911816,-2.552825689,309.5455017,294.9659729,0.007807612,87570.84375,399.5401001,Fa01,Fa
23774053,2019-06-14_02:00:00,4.191337585,-2.019067287,309.3997803,293.0037231,0.008574062,87625.84375,254.9979401,Fa01,Fa
23774053,2019-06-14_03:00:00,3.520417452,-1.479782104,288.5168457,291.2868958,0.008799783,87628.53125,60.77767944,Fa01,Fa
23774053,2019-06-14_04:00:00,3.294423103,-1.205420256,291.6483765,289.8485107,0.008589572,87586.53125,0,Fa01,Fa
23774053,2019-06-14_05:00:00,3.079268217,-0.942207396,294.4802856,288.5583801,0.00799049,87619.84375,0,Fa01,Fa
23774053,2019-06-14_06:00:00,2.860723019,-0.674656034,284.8372192,287.8181152,0.007648224,87607.53125,0,Fa01,Fa
23774053,2019-06-14_07:00:00,2.760328293,-0.631321669,286.5461121,287.3925171,0.007621959,87653.53125,0,Fa01,Fa
23774053,2019-06-14_08:00:00,2.654911995,-0.584432065,285.4767761,286.4794617,0.007301651,87692.53125,0,Fa01,Fa
23774053,2019-06-14_09:00:00,2.559225082,-0.544317126,275.7693481,285.5577087,0.007518706,87654.53125,0,Fa01,Fa
23774053,2019-06-14_10:00:00,2.283368826,-0.766581953,277.2983398,284.7649231,0.007935677,87632.53125,0,Fa01,Fa
23774053,2019-06-14_11:00:00,1.999936581,-0.985049665,276.889679,283.7473755,0.007889576,87608.53125,0,Fa01,Fa
23774053,2019-06-14_12:00:00,1.717477322,-1.218566656,274.4595032,283.5958862,0.008054336,87640.22656,0,Fa01,Fa
23774053,2019-06-14_13:00:00,1.328973651,-1.207067251,266.497345,283.4181213,0.007685741,87639.53125,60.16300201,Fa01,Fa
23774053,2019-06-14_14:00:00,0.932881236,-1.187993884,263.1749878,284.0760498,0.007814344,87670.53125,185.6118317,Fa01,Fa
23774053,2019-06-14_15:00:00,0.524528742,-1.17689395,278.5056458,284.372345,0.007860404,87681.22656,350.0770264,Fa01,Fa
23774053,2019-06-14_16:00:00,0.78856194,-1.216097832,273.8388977,284.8963928,0.007230942,87728.22656,514.9945679,Fa01,Fa
23774053,2019-06-14_17:00:00,1.044314265,-1.24830687,272.2331238,286.0359497,0.006892859,87768.22656,656.3335571,Fa01,Fa
23774053,2019-06-14_18:00:00,1.300829649,-1.288273692,290.5350952,287.4507751,0.00653349,87732.22656,772.3255615,Fa01,Fa
23774053,2019-06-14_19:00:00,1.634880304,-1.345124602,296.8386536,289.2990417,0.007440644,87751.53125,859.2186279,Fa01,Fa
23774053,2019-06-14_20:00:00,1.964880228,-1.400964499,295.4730835,289.8905945,0.007525771,87788.22656,889.6641235,Fa01,Fa
23774053,2019-06-14_21:00:00,2.29313302,-1.461210847,298.0344238,290.562561,0.007205468,87779.53125,879.8286743,Fa01,Fa
23774053,2019-06-14_22:00:00,2.330611944,-2.129895926,299.7000122,291.0578308,0.006907097,87764.53125,818.1834717,Fa01,Fa
23774053,2019-06-14_23:00:00,2.359843493,-2.804858685,301.1366272,291.4823914,0.006664822,87751.53125,717.1896362,Fa01,Fa
23774053,2019-06-15_00:00:00,2.393404245,-3.474900246,290.5886841,291.8323059,0.006232486,87769.53125,561.8942261,Fa01,Fa
23774053,2019-06-15_01:00:00,2.322683096,-3.098486662,295.0452881,292.2634583,0.006044252,87709.53125,403.7901001,Fa01,Fa
23774053,2019-06-15_02:00:00,2.264657259,-2.718641043,293.7197266,290.838623,0.006456438,87705.84375,258.241333,Fa01,Fa
23774053,2019-06-15_03:00:00,2.204857349,-2.336836338,268.8885803,289.0075378,0.006599862,87721.53125,63.40267944,Fa01,Fa
23774053,2019-06-15_04:00:00,1.675509214,-2.418394089,275.1723633,288.2387695,0.006829573,87723.53125,0,Fa01,Fa
