at_gw1,at_gw2,at_gw3,window,rip,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.891038113,0.345973643,0.668735933,10,1.201338543,2.105845985,1.940099195,2.000916664,-0.794184578,1.680740085,-2.459376318
0.377853567,0.411879268,0.11517076,8,1.303330249,0.842058551,3.505456843,-0.619605219,-2.87385239,-0.980281437,-4.155663269
0.123910346,0.738866821,0.02035494,3,0.695282953,2.335742119,2.967924411,-2.612864037,-4.354418432,2.725218178,2.15230255
0.32558089,0.803046199,0.20489305,13,1.855159881,1.2456108,3.204793055,-1.084764606,-2.568353519,-1.381978747,-3.836713901
0.755187585,0.999650875,0.904473498,9,0.702462581,2.904333713,2.360740119,0.973203927,-0.629135762,4.397969102,3.511467767
0.223363337,0.417347824,0.423487309,12,1.685254793,1.662449518,3.667913194,-1.547761075,-3.162155889,-1.756510943,-4.222060177
0.139733253,0.011732701,0.309152688,11,1.803913756,2.015489083,4.388641065,-1.93648977,-3.985711255,-2.072157151,-4.876928846
0.674181678,0.017307514,0.425665504,2,1.306236282,1.482087532,2.869495342,1.16308376,-1.987799125,0.849483821,-3.623222963
0.16942557,0.342340614,0.34445499,8,1.377279565,1.832361059,3.856912915,-1.736456552,-3.39038765,-1.91192541,-4.389354846
0.160159764,0.09296672,0.833068033,13,0.519048527,2.990462214,3.856347807,-2.928427387,-5.560231257,4.176948734,3.780917538
0.211487807,0.523896387,0.505527562,10,1.418532873,1.670946637,3.440966193,-1.55885963,-2.917409173,-1.76689227,-4.005472319
0.664498099,0.562587221,0.640621065,8,1.635532149,1.014129558,2.126856525,0.941045527,-1.148445314,0.540849891,-2.903141115
0.617497441,0.701867696,0.357023366,13,1.267922769,0.602038094,2.552737338,0.341121432,-1.681307785,-0.123904214,-3.321688066
0.481387619,0.148533083,0.442328293,5,0.667751378,2.345776452,2.663930158,-0.413849508,-3.587161725,3.976645606,2.472040938
0.247684034,0.896135159,0.161494221,10,1.944842568,1.50365274,3.193020982,-1.374017623,-2.58105496,-1.616561895,-3.80439761
0.966991066,0.080446409,0.398648222,9,1.364154487,2.643568683,2.209453423,2.498297302,-1.118203322,2.295735031,-2.660373991
0.948671425,0.382826685,0.611120253,5,1.782844644,2.933774514,1.635155652,2.801236652,-0.162963074,2.630329737,-1.767326535
0.833909091,0.966135369,0.57307627,13,1.566263381,1.509619569,1.678341303,1.410823044,-0.385831228,1.000048197,-2.187774373
0.080271871,0.401864681,0.67437352,4,1.659802775,2.232139811,3.597253721,-2.165026067,-3.154108259,-2.25968583,-4.09272001
0.820731514,0.699537161,0.203898373,8,0.819582546,2.830232656,1.462089012,1.543408402,-1.24279381,3.845074448,1.520426408
0.533596634,0.890513651,0.867807477,10,1.438417278,0.50587006,1.969330452,0.113978112,-1.013290507,-0.336528035,-2.669453136
0.040307915,0.940669095,0.664237737,2,1.159987911,2.431524366,2.919474288,-2.386012693,-2.417640669,-2.438930542,-3.404014887
0.952843101,0.655137687,0.982199317,2,1.87869933,3.187868333,1.471087972,2.721175244,0.738211767,2.756607956,-1.053366713
0.291713399,0.244814922,0.258233096,2,1.36511506,1.18899045,3.723368373,-0.990450613,-3.164604063,-1.257920209,-4.295484252
0.78566158,0.867442109,0.666538357,11,1.826586577,1.443519113,1.695955555,1.361543686,-0.438037035,0.941941374,-2.228853081
0.517768773,0.954908497,0.824652926,7,1.760107828,0.504355025,1.813178344,0.199934624,-0.798527384,-0.236203277,-2.492265799
0.175662442,0.828751409,0.517710464,8,0.847523982,1.694363605,2.171329497,-2.073049293,-3.126438459,1.348245732,0.931164222
0.106264301,0.144103694,0.916101768,13,1.877883548,2.185453484,3.813629695,-2.122265045,-3.410619625,-2.224958834,-4.301017268
0.034076149,0.582430704,0.421332998,10,0.997573372,2.113301327,2.898550686,-2.599894562,-3.611100437,-0.966696704,-1.808403044
0.110885732,0.807136143,0.056221522,3,1.275021772,2.075362774,3.557990319,-1.99712286,-3.039941862,-2.119523667,-4.094573904
0.444556713,0.433974435,0.731841786,6,1.931190469,0.558272846,2.690839756,-0.148268108,-1.929740359,-0.574643525,-3.367909265
0.062006671,0.953581571,0.348499274,12,0.821693723,2.130004083,2.485911877,-2.799546113,-3.675794104,1.283192515,1.056786251
0.570610028,0.885586452,0.259780728,8,0.525549911,3.032138595,2.950590628,-0.264826598,-2.645533289,5.166923961,4.241986478
0.80499876,0.990288471,0.291755749,13,1.361968179,1.367178429,1.875240025,1.267650214,-0.695797736,0.843197518,-2.503311543
0.950616668,0.627810203,0.061665391,12,1.703653176,2.217006486,2.061959283,2.104506553,-0.867842513,1.779823184,-2.53157442
0.592146905,0.661902332,0.042621194,12,1.957657042,0.571684382,2.869465901,0.290375745,-2.037460515,-0.175708643,-3.637513687
