at_gw1,at_gw2,at_gw3,window,rip,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.901731937,0.961722287,0.301090966,11,0.707871414,5,0.783229993,0.268381985,0.533007551,3.090896255,1.922711419,2.54393965,2.602348782,2.87752068,-0.225970505
0.04105906,0.079475072,0.897238908,13,0.925013884,16,0.971927921,0.988650452,0.828956548,1.618681806,2.567269197,-1.252053861,-0.699882317,-2.028479467,-3.933793182
0.19918655,0.093553094,0.472677717,8,0.94969268,14,0.234497833,0.559449245,0.064604288,1.073649104,2.555036656,-1.240783137,-1.91182715,-0.677717697,-2.934446222
0.540822244,0.29964484,0.169601822,7,1.462324136,22,0.228361733,0.616032186,0.014144336,0.537486686,3.270616976,0.429868946,-2.014878773,-0.325358942,-4.45838484
0.806907734,0.444360809,0.045584493,10,0.886687156,17,0.568645911,0.590981452,0.373568947,2.169270417,1.491457082,2.177116448,0.361815032,1.637881513,-2.451669761
0.019159497,0.677105872,0.309301075,2,0.873634696,13,0.843746647,0.693251162,0.865615937,1.424924086,1.981770735,-1.295345179,-0.048902181,-1.652111786,-3.1512756
0.868484416,0.832988787,0.224411402,5,1.722882221,10,0.802116625,0.359870718,0.106980424,2.334899558,1.691526711,2.486992483,0.184494928,1.511783137,-2.701828963
0.617909117,0.730784761,0.195751339,10,1.883293538,10,0.905461481,0.952398034,0.29221192,0.720740811,2.762036061,0.759809217,-1.047706313,-0.397377401,-4.190882128
0.222168214,0.045642148,0.021323117,3,1.380525925,17,0.627373402,0.250917181,0.430660368,1.528558041,4.487490653,-1.000638777,-2.852858223,-2.070635021,-6.080195336
0.260684545,0.22111069,0.473381623,10,1.149905132,9,0.637636672,0.597692359,0.841204672,1.488236313,3.845915971,-0.975279896,-2.158483736,-2.003938542,-5.356935537
0.742900008,0.828484217,0.937941955,11,1.765582084,21,0.302492759,0.442858515,0.162938716,1.171147031,1.877637983,1.22235019,-0.039727843,0.387604435,-3.028572779
0.088628011,0.342616204,0.956096586,9,0.897830227,3,0.658280554,0.553944803,0.590185571,1.519010583,1.858691757,-2.083460992,-0.334272927,-0.647244741,-2.862450797
0.22571474,0.453234064,0.72808608,10,0.648223923,22,0.242323236,0.752810012,0.147465652,1.264574566,0.929586413,-0.970612145,0.227512039,1.644218807,-0.367321492
0.304457281,0.770205534,0.680133432,6,1.209901811,12,0.987995527,0.966995162,0.487375107,1.197444764,2.853484395,-0.641997585,-1.06258525,-1.748656591,-4.293481909
0.030391738,0.195033305,0.289031759,7,1.548941779,9,0.369157676,0.633647011,0.400401813,2.491446191,4.432817441,-2.159483313,-2.834892066,-2.837882542,-5.939787639
0.438621439,0.101375167,0.558772871,5,1.439230979,3,0.481066999,0.449635205,0.167793078,0.605470353,3.363126526,-0.037949381,-2.020107767,-0.728861588,-4.557639454
0.739731387,0.328033959,0.583895597,7,1.151617361,11,0.223716244,0.700818791,0.729150807,1.474229117,2.529477244,1.518798185,-0.694633824,0.848358655,-3.937625997
0.568507539,0.26945261,0.402266826,2,0.727661451,23,0.005393953,0.462413167,0.302153851,2.394980406,1.063463629,0.183871345,0.581988851,3.801655421,-1.350255613
