at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.451833796,0.819393582,0.36531742,9,1.255216383,0.668645495,1.67800453,1.533952504,15,0.524544844,0.665906707,0.674226868,0.666130929,2.615748046,-0.028217886,-0.752599096,-1.050238496,-4.060894876
0.666746064,0.002286898,0.764609149,6,1.020790418,0.710817688,1.995442288,1.593461491,23,0.221820041,0.139237965,0.441841034,1.390989836,2.395112172,1.243317899,-0.753483618,1.10268084,-3.682473963
0.406803686,0.51061512,0.299729702,10,1.281500203,1.587754414,1.617797142,1.612449932,21,0.757148505,0.795931277,0.845001489,0.93168944,3.44942523,-0.311934272,-1.669376142,-1.486141429,-5.025118611
0.279695273,0.065786046,0.817619396,6,1.987388435,0.689938278,1.158140165,1.646651485,5,0.521810526,0.457880416,0.557080673,1.271498988,3.290203538,-0.910432997,-1.611080647,-1.572252198,-4.741693262
0.226094071,0.415716785,0.001622801,8,0.810373776,1.929286293,1.261438121,1.672468543,11,0.287487528,0.959225405,0.311899107,0.851873812,2.129577988,-1.137859372,-0.978166062,-0.331449499,-3.229572953
0.970080031,0.860188046,0.900309203,10,1.631854162,0.844261239,0.745865515,0.514469452,8,0.713607734,0.725619706,0.827426123,2.438187083,1.74651699,2.526541666,0.567637883,1.548075959,-2.661156025
0.562808871,0.450555581,0.6256259,6,0.995890306,1.461361357,1.796998537,0.66656906,19,0.751791329,0.866990375,0.378764258,0.8432854,1.967710833,0.976884528,-0.237168869,-0.020358298,-3.160103356
0.940729837,0.144864745,0.20850789,2,1.116039003,0.716836577,0.525451788,0.880767326,8,0.961814544,0.124954421,0.267049311,2.979994376,1.804776483,2.840134036,0.02029327,2.318691519,-2.85471091
0.562692808,0.456390643,0.974894414,2,1.103772789,0.613541989,1.882637942,1.735574098,12,0.927440382,0.893094243,0.000751514,0.835061345,1.547855942,0.785084808,-0.107432578,-0.121527292,-2.447023608
0.651451874,0.715774585,0.024617952,4,1.779496485,0.868175769,1.593068336,1.185857437,14,0.775554718,0.998933546,0.411995514,1.153228104,2.517533208,1.303042552,-0.683194795,0.26849257,-3.919996676
0.107786626,0.960042203,0.040612137,13,1.335887672,0.815916278,0.606949151,0.640956436,6,0.784510528,0.531713028,0.093900764,2.185207651,3.926463687,-1.711968876,-2.657295847,-2.609596822,-5.204578559
0.32045042,0.971237135,0.507026501,2,0.586748592,1.141945391,0.636660289,1.206146843,8,0.212198633,0.232800706,0.514996567,1.613643765,1.372905961,-0.922054587,1.877184325,2.454476105,-0.753437439
0.099877833,0.076681453,0.78563593,9,1.587471881,1.532551225,0.679447725,1.422179283,17,0.619626038,0.915929692,0.801312596,2.258261602,3.933970261,-1.725955481,-2.140436726,-2.825076465,-5.423671358
0.623477464,0.990159958,0.077765671,12,1.408949224,0.5211555,1.986951513,0.825618685,13,0.208347626,0.041355597,0.403567788,0.655241939,2.031614372,0.522532655,-0.136910027,-0.15625205,-3.352106882
0.055030307,0.872379498,0.354722086,7,1.292141522,1.027407846,0.874491185,1.090792249,14,0.965360925,0.754746962,0.129277276,2.394473637,3.534300924,-1.853513163,-2.058164722,-2.950768825,-4.905580402
0.792962155,0.947608166,0.007426134,10,1.316737121,1.145356808,1.184059965,1.911427321,16,0.735933726,0.918599996,0.776415722,1.456785044,2.749787489,1.590857254,-0.932565919,0.495685578,-4.229377375
0.394759983,0.18083546,0.427668295,13,0.775526979,1.886686515,0.616303006,1.101706843,19,0.233877886,0.951273196,0.587620222,0.652172426,1.764249506,-0.335375586,0.08614939,0.57242174,-2.956803689
0.129137128,0.297348704,0.210284124,12,1.35456677,1.701756291,1.406264847,1.117156185,7,0.532006075,0.537905967,0.067671144,2.176374562,4.141325997,-1.718628961,-2.910078162,-2.641300727,-5.406753178
0.992334735,0.645331036,0.096784774,11,0.591036845,0.660703464,0.892660351,0.814888289,13,0.561332322,0.20082909,0.401380752,3.903433224,2.108819001,3.392001509,2.727488114,3.831698391,0.193973317
0.40688496,0.584117049,0.880110619,11,1.819664022,0.962925282,1.935804379,1.21969191,10,0.246212496,0.349313565,0.238026555,0.860661555,2.451463228,-0.464585316,-0.765254768,-1.17471116,-3.828751556
0.02557129,0.162890192,0.200448593,7,0.795048121,1.354222702,0.774393077,1.923941021,9,0.512143304,0.051411802,0.653249667,1.377006236,2.374484624,-1.716998793,-0.917856279,-1.218337232,-3.627273994
0.765979061,0.210672018,0.619995105,2,1.68635006,1.0501376,0.98999565,1.575291823,9,0.896787747,0.375053658,0.689464488,1.910642745,2.260915135,1.88272526,-0.406211678,1.160336529,-3.586523128
0.566652306,0.359132493,0.709253762,11,1.021434657,1.774456411,0.511248295,1.136024902,5,0.941475446,0.321980968,0.047179511,0.701651299,1.872663154,0.587774026,-1.202699394,-0.364161125,-2.530470082
0.803579183,0.546621945,0.74900076,3,1.796015723,0.504963014,1.249286226,0.585060708,22,0.683925822,0.718388776,0.596588143,2.023837645,2.085899659,2.110646769,-0.081966458,1.258067263,-3.339998821
0.438372567,0.666329713,0.787136898,12,1.903592709,1.350810384,0.728473809,1.637075577,9,0.413718529,0.308028329,0.460481246,0.818945633,2.738605441,-0.295055901,-0.99431611,-1.219950752,-4.206183022
0.865056806,0.978031978,0.486825606,5,0.687048319,0.530561679,0.666605079,1.853514052,18,0.022644944,0.439233627,0.9321458,3.923622834,1.90806368,1.965572676,2.538079883,5.583554779,-0.616198903
0.297037493,0.384384548,0.088777931,4,0.789671088,1.550417579,0.842762195,1.021111046,9,0.597838042,0.665383973,0.106489084,0.411515113,1.352578985,-0.146053988,-0.868517861,-0.247506775,-1.641049409
